YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"CONDITION in PCT POOR","CONDITION in PCT VERY POOR","CONDITION in PCT GOOD","CONDITION in PCT FAIR","CONDITION in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT POOR","CONDITION, 5 YEAR AVG in PCT VERY POOR","CONDITION, 5 YEAR AVG in PCT GOOD","CONDITION, 5 YEAR AVG in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT POOR","CONDITION, PREVIOUS YEAR in PCT EXCELLENT","CONDITION, PREVIOUS YEAR in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT VERY POOR","CONDITION, PREVIOUS YEAR in PCT GOOD"
1986,"US TOTAL","  ","  ","   ","WEEK #21",CORN,3," ",60,26,11," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #22",CORN,4,1,60,24,11," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #23",CORN,2," ",63,22,13," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #24",CORN,2," ",61,18,19," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #25",CORN,2," ",59,18,21," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #26",CORN,3," ",58,16,23," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #27",CORN,4," ",54,13,29," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #28",CORN,3,1,48,12,36," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #29",CORN,3,1,48,9,39," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #30",CORN,3,1,48,10,38," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #31",CORN,2,2,48,9,39," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #32",CORN,3,2,47,11,37," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #33",CORN,2,2,49,9,38," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #34",CORN,2,1,48,11,38," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #35",CORN,2,1,51,12,34," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #36",CORN,3,1,51,12,33," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #37",CORN,3,1,53,11,32," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #38",CORN,3,1,52,12,32," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #39",CORN,3,1,55,12,29," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #21",CORN,4," ",61,18,17," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1," ",62,24,13," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #23",CORN,1," ",63,18,18," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #24",CORN,1," ",66,17,16," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #25",CORN,2," ",63,21,14," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #26",CORN,1," ",62,15,22," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #27",CORN,2," ",61,15,22," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #28",CORN,2," ",59,12,27," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1," ",56,11,32," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #30",CORN,3,1,53,16,27," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #31",CORN,3,1,55,20,21," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #32",CORN,4,1,54,22,19," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #33",CORN,3,1,60,17,19," "," "," "," "," "," "," "," "," "," "
