YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"WEEK ENDING","PROGRESS in PCT PLANTED","PROGRESS, 5 YEAR AVG in PCT PLANTED","PROGRESS, PREVIOUS YEAR in PCT PLANTED","PROGRESS in PCT EMERGED","PROGRESS, 5 YEAR AVG in PCT EMERGED","PROGRESS, PREVIOUS YEAR in PCT EMERGED","PROGRESS in PCT SILKING","PROGRESS, 5 YEAR AVG in PCT SILKING","PROGRESS, PREVIOUS YEAR in PCT SILKING","PROGRESS in PCT DOUGH","PROGRESS, 5 YEAR AVG in PCT DOUGH","PROGRESS, PREVIOUS YEAR in PCT DOUGH","PROGRESS in PCT DENTED","PROGRESS, 5 YEAR AVG in PCT DENTED","PROGRESS, PREVIOUS YEAR in PCT DENTED","PROGRESS in PCT MATURE","PROGRESS, 5 YEAR AVG in PCT MATURE","PROGRESS, PREVIOUS YEAR in PCT MATURE","PROGRESS in PCT HARVESTED","PROGRESS, 5 YEAR AVG in PCT HARVESTED","PROGRESS, PREVIOUS YEAR in PCT HARVESTED"
1980,"US TOTAL","  ","  ","   ","WEEK #15",CORN,1980-04-13,2,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1980-04-20,3,6," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1980-04-27,10,12," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1980-05-04,38,25," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1980-05-11,70,46," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1980-05-18,86,69," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1980-05-25,94,85," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1980-06-01,97,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1981-04-19,7,5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1981-04-26,10,11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1981-05-03,24,26," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1981-05-10,47,47," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1981-05-17,65,68," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1981-05-24,78,83," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1981-05-31,87,92," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #23",CORN,1981-06-07,92,97," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #24",CORN,1981-06-14,95,99," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #26",CORN,1981-06-28," "," "," "," "," "," ",3," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1981-07-05," "," "," "," "," "," ",6," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1981-07-12," "," "," "," "," "," ",13," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1981-07-19," "," "," "," "," "," ",37," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1981-07-26," "," "," "," "," "," ",65," "," ",10," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1981-08-02," "," "," "," "," "," "," "," "," ",20," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1981-08-09," "," "," "," "," "," "," "," "," ",35," "," "," "," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1981-08-16," "," "," "," "," "," "," "," "," ",52," "," ",17," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1981-08-23," "," "," "," "," "," "," "," "," ",69," "," ",30," "," "," "," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1981-08-30," "," "," "," "," "," "," "," "," ",82," "," ",43," "," ",9," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1981-09-06," "," "," "," "," "," "," "," "," ",92," "," ",58," "," ",16," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1981-09-13," "," "," "," "," "," "," "," "," "," "," "," ",77," "," ",28," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1981-09-20," "," "," "," "," "," "," "," "," "," "," "," ",91," "," ",50," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1981-09-27," "," "," "," "," "," "," "," "," "," "," "," ",97," "," ",70," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1981-10-04," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",85," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #41",CORN,1981-10-11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",92," "," "," "," "," "
1981,"US TOTAL","  ","  ","   ","WEEK #42",CORN,1981-10-18," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",97," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1982-04-25,6,8," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1982-05-02,20,22," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1982-05-09,49,43," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1982-05-16,69,64," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1982-05-23,77,80," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1982-05-30,82,90," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1982-06-06,89,96," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #23",CORN,1982-06-13,97," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
